Estimator,Pure_MAE,Pure_Execution_Time,Mean_R_squared_Pure,Success_Rate_Pure,Contaminated_MAE,Robustness_Score,Pure_Data_Score,Robustness_Score_Ranking,Overall_Score,Category,Pure_Success_Rate,Realistic_Performance,Realistic_Score,Accuracy_Score,Speed_Score,Robustness_Score_Norm,Overall_Score_Norm,Performance_Composite,Robustness_Composite,Final_Composite,Overall_Rank,Performance_Rank,Robustness_Rank,Accuracy_Rank,Speed_Rank
LSTM,0.0966217417828387,0.0011526644229888,0.0,0.0,0.0,1.0,9.033782582171613,10.0,9.677927527390535,Neural Networks,1.0,1.0,1.0,8.167295012237478,9.994509763475293,1.0,9.677927527390535,8.898180912732604,1.0,6.762650623310202,1,1,1,1,5
CNN,0.1028115327830318,0.006378615895907,0.0,0.0,0.0,1.0,8.971884672169681,10.0,9.657294890723229,Neural Networks,1.0,1.0,1.0,8.049888095016325,9.969618121917929,1.0,9.657294890723229,8.817780105776967,1.0,6.724300509527755,2,2,2,3,8
Transformer,0.1060513080547033,0.0025698542594909,0.0,0.0,0.0,1.0,8.939486919452966,10.0,9.646495639817656,Neural Networks,1.0,1.0,1.0,7.98843658120521,9.98775957040294,1.0,9.646495639817656,8.788165776884302,1.0,6.709215002699018,3,3,3,4,6
GRU,0.1078933399068148,0.000728373726209,0.0,0.0,0.0,1.0,8.921066600931852,10.0,9.64035553364395,Neural Networks,1.0,1.0,1.0,7.953497230074803,9.996530695356329,1.0,9.64035553364395,8.770710616187413,1.0,6.700390906568151,4,4,4,5,4
R/S,0.0988756405742225,0.3477757275104522,0.9837718066822896,1.0,0.1988782309812416,1.0,9.011243594257774,10.0,9.505621797128889,Classical,0.0,0.0,0.0,8.124543438102487,8.343515282068292,1.0,9.505621797128889,8.212132175688808,0.6,6.31653940941419,5,5,9,2,14
GradientBoosting,0.1925915649433322,0.0133205167949199,0.0,0.0,0.0,1.0,8.074084350566677,10.0,9.35802811685556,ML,1.0,1.0,1.0,6.346955507530239,9.936553270512318,1.0,9.35802811685556,7.7827946127230705,1.0,6.220526280145896,6,6,5,6,11
SVR,0.2018056335248069,0.0091797895729541,0.0,0.0,0.0,1.0,7.981943664751931,10.0,9.32731455491731,ML,1.0,1.0,1.0,6.172184600534916,9.956275898694022,1.0,9.32731455491731,7.685821119798558,1.0,6.1725228143946165,7,8,7,8,9
Whittle,0.1999999999999999,0.0002201795578002,0.0071234536753681,1.0,0.0,1.0,8.0,10.0,9.0,Classical,0.0,0.0,0.0,6.206433554299613,9.99895126645178,1.0,9.0,7.723440639160479,0.6,5.969376255664192,8,7,8,7,1
Periodogram,0.2053673300636,0.0004737675189971,0.4688468724489212,1.0,0.2108708745823241,1.0,7.946326699363999,10.0,8.973163349682,Classical,0.0,0.0,0.0,6.104626938138251,9.997743405899287,1.0,8.973163349682,7.661873525242665,0.6,5.936698415001667,9,9,11,10,2
CWT,0.269328936855973,0.0631966590881347,0.4498077322490069,1.0,0.2885153931169804,1.0,7.30671063144027,10.0,8.653355315720134,Classical,0.0,0.0,0.0,4.8914139114351105,9.698989056098837,1.0,8.653355315720134,6.814443969300601,0.6,5.501784182436281,10,11,12,11,13
GPH,0.2736566533381119,0.031824380159378,0.468830332159996,1.0,0.2100957380235195,1.0,7.26343346661888,10.0,8.63171673330944,Classical,0.0,0.0,0.0,4.809326511269376,9.848417830165925,1.0,8.63171673330944,6.824963038827995,0.6,5.499500235524031,11,10,10,12,12
RandomForest,0.2021317556248967,2.0994804464280605,0.0,0.0,0.0,1.0,7.978682443751032,10.0,9.326227481250344,ML,1.0,1.0,1.0,6.165998771254405,0.0,1.0,9.326227481250344,3.699599262752643,1.0,4.57770794947616,12,15,6,9,15
DFA,0.4649586406378651,0.0093182921409606,0.855877874015745,1.0,0.4965228207664156,1.0,5.350413593621349,10.0,7.675206796810674,Classical,0.0,0.0,0.0,1.1807425111886483,9.955616199442037,1.0,7.675206796810674,4.690691986490004,0.6,4.358838833639203,13,12,13,13,10
Higuchi,0.5094385441822479,0.0037225782871246,0.9894892116143784,1.0,0.5770331519972971,1.0,4.905614558177521,10.0,7.452807279088761,Classical,0.0,0.0,0.0,0.33705516321884677,9.98226904997635,1.0,7.452807279088761,4.1951407179218485,0.6,4.093898470895367,14,13,14,14,7
DMA,0.5272083746593633,0.0005181431770324,0.9187825946069076,1.0,0.5495666708274458,1.0,4.727916253406367,10.0,7.363958126703183,Classical,0.0,0.0,0.0,0.0,9.997532040948922,1.0,7.363958126703183,3.999012816379569,0.6,3.9887925645627824,15,14,15,15,3
