estimator,data_model,hurst,length,scenario,estimated_hurst,error,success,execution_time,framework
Adaptive_RS,fbm,0.5,1000,pure,0.9995455455743809,0.4995455455743809,True,4.427023887634277,jax
Adaptive_DFA,fbm,0.5,1000,pure,0.5013778355709856,0.001377835570985586,True,0.04600882530212402,numpy
Adaptive_DMA,fbm,0.5,1000,pure,0.5652548488705929,0.06525484887059285,True,0.003231048583984375,numba
Adaptive_Higuchi,fbm,0.5,1000,pure,1.4859182284055175,0.9859182284055175,False,0.04829883575439453,numba
Adaptive_GPH,fbm,0.5,1000,pure,0.99,0.49,True,0.480802059173584,numba
Adaptive_Whittle,fbm,0.5,1000,pure,0.7,0.19999999999999996,True,0.0018458366394042969,numba
Adaptive_Periodogram,fbm,0.5,1000,pure,0.99,0.49,True,0.006467342376708984,numba
Adaptive_RS,fbm,0.5,1000,eeg_ocular_artifacts,0.9702482168973382,0.4702482168973382,True,0.6287012100219727,numba
Adaptive_DFA,fbm,0.5,1000,eeg_ocular_artifacts,0.5194076039893817,0.019407603989381683,True,0.04547572135925293,numpy
Adaptive_DMA,fbm,0.5,1000,eeg_ocular_artifacts,0.47874515359876113,0.02125484640123887,True,0.0025153160095214844,numpy
Adaptive_Higuchi,fbm,0.5,1000,eeg_ocular_artifacts,1.5362099038104589,1.0362099038104589,False,0.014671802520751953,numpy
Adaptive_GPH,fbm,0.5,1000,eeg_ocular_artifacts,0.99,0.49,True,0.008146047592163086,numpy
Adaptive_Whittle,fbm,0.5,1000,eeg_ocular_artifacts,0.7,0.19999999999999996,True,0.0013813972473144531,numpy
Adaptive_Periodogram,fbm,0.5,1000,eeg_ocular_artifacts,0.99,0.49,True,0.005922794342041016,numpy
Adaptive_RS,fbm,0.5,1000,eeg_muscle_artifacts,0.8972932581327112,0.3972932581327112,True,0.6870129108428955,numpy
Adaptive_DFA,fbm,0.5,1000,eeg_muscle_artifacts,0.2448506221723486,0.2551493778276514,True,0.05015158653259277,numpy
Adaptive_DMA,fbm,0.5,1000,eeg_muscle_artifacts,0.07510406952987622,0.42489593047012375,True,0.0034639835357666016,numpy
Adaptive_Higuchi,fbm,0.5,1000,eeg_muscle_artifacts,1.128898402853522,0.628898402853522,False,0.015966176986694336,numpy
Adaptive_GPH,fbm,0.5,1000,eeg_muscle_artifacts,0.6988077238202095,0.1988077238202095,True,0.010987520217895508,numpy
Adaptive_Whittle,fbm,0.5,1000,eeg_muscle_artifacts,0.7,0.19999999999999996,True,0.002908945083618164,numpy
Adaptive_Periodogram,fbm,0.5,1000,eeg_muscle_artifacts,0.5492199435830116,0.04921994358301163,True,0.009148597717285156,numpy
Adaptive_RS,fbm,0.5,1000,eeg_60hz_noise,1.0690573489642183,0.5690573489642183,False,0.8290188312530518,numpy
Adaptive_DFA,fbm,0.5,1000,eeg_60hz_noise,0.09903403245520091,0.4009659675447991,True,0.05120849609375,numpy
Adaptive_DMA,fbm,0.5,1000,eeg_60hz_noise,0.3031947713867216,0.19680522861327843,True,0.003473997116088867,numpy
Adaptive_Higuchi,fbm,0.5,1000,eeg_60hz_noise,0.8438195594875839,0.3438195594875839,True,0.018126964569091797,numpy
Adaptive_GPH,fbm,0.5,1000,eeg_60hz_noise,0.99,0.49,True,0.010663747787475586,numpy
Adaptive_Whittle,fbm,0.5,1000,eeg_60hz_noise,0.7,0.19999999999999996,True,0.002234935760498047,numpy
