rank,estimator,category,mean_mae,std_mae,mean_execution_time,success_rate
1,RandomForest,Machine Learning,0.0357,0.0301,1.8536,1.0
2,GradientBoosting,Machine Learning,0.0387,0.0311,0.0195,1.0
3,SVR,Machine Learning,0.0657,0.0309,0.0176,1.0
4,R/S,Classical,0.0676,0.0439,0.4904,1.0
5,NN_convolutional,Neural Network,0.1995,0.1133,0.0373,1.0
6,NN_feedforward,Neural Network,0.2001,0.108,0.062,1.0
7,Whittle,Classical,0.25,0.1658,0.0008,1.0
8,Periodogram,Classical,0.3414,0.2867,0.003,1.0
9,GPH,Classical,0.3497,0.2749,0.0496,1.0
10,DFA,Classical,0.4035,0.1431,0.0183,1.0
11,Higuchi,Classical,0.4314,0.192,0.0145,1.0
12,DMA,Classical,0.4549,0.1894,0.0012,1.0
13,NN_resnet,Neural Network,0.7132,0.1726,0.0624,1.0
