Category,Estimator,True_H,Estimated_H,Error,Execution_Time,Data_Model
Classical,R/S,0.7,0.8305480449301419,0.13054804493014194,1.7732720375061035,fGn
Classical,DFA,0.7,0.11367022617423962,0.5863297738257603,0.006855487823486328,fGn
Classical,DMA,0.7,0.7638520431341566,0.0638520431341566,0.0008044242858886719,fGn
Classical,Higuchi,0.7,0.7927033677471238,0.09270336774712384,0.002343416213989258,fGn
Classical,GPH,0.7,0.9115031808614731,0.21150318086147313,0.2906041145324707,fGn
Classical,Whittle,0.7,0.7,0.0,0.0004734992980957031,fGn
Classical,Periodogram,0.7,0.7617535591125488,0.06175355911254887,0.0007598400115966797,fGn
Classical,CWT,0.7,0.565727806148633,0.1342721938513669,0.07795476913452148,fGn
Classical,WaveletVar,0.7,1.2184861141399432,0.5184861141399433,0.0011188983917236328,fGn
Classical,WaveletLogVar,0.7,0.9980166242875723,0.29801662428757236,0.0004374980926513672,fGn
Classical,WaveletWhittle,0.7,0.010005841643766819,0.6899941583562331,0.006956815719604492,fGn
Classical,MFDFA,0.7,0.18827691518986858,0.5117230848101314,0.12356185913085938,fGn
Classical,WaveletLeaders,0.7,0.08803886558818574,0.6119611344118142,0.018131494522094727,fGn
Classical,R/S,0.3,0.7919119677755598,0.49191196777555984,0.02565145492553711,ARFIMAModel
Classical,DFA,0.3,0.16576866586142952,0.13423133413857047,0.0066356658935546875,ARFIMAModel
Classical,DMA,0.3,0.75141931763241,0.45141931763241,0.0007915496826171875,ARFIMAModel
Classical,Higuchi,0.3,0.7901923882390407,0.4901923882390407,0.0021953582763671875,ARFIMAModel
Classical,GPH,0.3,0.8171238899230957,0.5171238899230957,0.0011010169982910156,ARFIMAModel
Classical,Whittle,0.3,0.7,0.39999999999999997,0.00032210350036621094,ARFIMAModel
Classical,Periodogram,0.3,0.6675775200128555,0.36757752001285554,0.0008687973022460938,ARFIMAModel
Classical,CWT,0.3,1.25732925437232,0.95732925437232,0.08092331886291504,ARFIMAModel
Classical,WaveletVar,0.3,1.4881369130979643,1.1881369130979642,0.0008602142333984375,ARFIMAModel
Classical,WaveletLogVar,0.3,1.1849243153210618,0.8849243153210617,0.0004360675811767578,ARFIMAModel
Classical,WaveletWhittle,0.3,0.010005841643766819,0.28999415835623316,0.006971597671508789,ARFIMAModel
Classical,MFDFA,0.3,0.38166777961504195,0.08166777961504196,0.1041409969329834,ARFIMAModel
Classical,WaveletLeaders,0.3,0.24645138501672942,0.05354861498327057,0.01265263557434082,ARFIMAModel
Classical,R/S,0.7,0.706203755294934,0.006203755294933999,0.026519775390625,MRW
Classical,DFA,0.7,0.21507348327214718,0.4849265167278528,0.0063898563385009766,MRW
Classical,DMA,0.7,0.6521077591472725,0.047892240852727475,0.0011448860168457031,MRW
Classical,Higuchi,0.7,0.7372871069064884,0.0372871069064884,0.0022363662719726562,MRW
Classical,GPH,0.7,0.7721382305026054,0.07213823050260548,0.0010590553283691406,MRW
Classical,Whittle,0.7,0.7,0.0,0.0002892017364501953,MRW
Classical,Periodogram,0.7,0.6225947663187981,0.07740523368120189,0.0006854534149169922,MRW
Classical,CWT,0.7,0.6027922593495,0.09720774065049997,0.07805347442626953,MRW
Classical,WaveletVar,0.7,0.9344869388928603,0.23448693889286032,0.0008397102355957031,MRW
Classical,WaveletLogVar,0.7,0.8011633966837073,0.10116339668370733,0.0004305839538574219,MRW
Classical,WaveletWhittle,0.7,0.010005841643766819,0.6899941583562331,0.006973743438720703,MRW
Classical,MFDFA,0.7,0.2009083161599043,0.49909168384009567,0.10600781440734863,MRW
Classical,WaveletLeaders,0.7,0.04313929587633733,0.6568607041236626,0.013027429580688477,MRW
ML,RandomForest,0.7,0.1,0.6,0.0005269050598144531,fBm
ML,GradientBoosting,0.7,0.14220414440846177,0.5577958555915382,0.0002658367156982422,fBm
ML,SVR,0.7,0.7387080494458688,0.03870804944586881,5.125999450683594e-05,fBm
ML,RandomForest,0.7,0.1,0.6,0.00015163421630859375,fGn
ML,GradientBoosting,0.7,0.12174957062817487,0.5782504293718251,0.00020647048950195312,fGn
ML,SVR,0.7,0.7244105391612646,0.024410539161264677,5.4836273193359375e-05,fGn
ML,RandomForest,0.3,0.1,0.19999999999999998,0.00013971328735351562,ARFIMAModel
ML,GradientBoosting,0.3,0.1529254798326064,0.14707452016739359,0.00021314620971679688,ARFIMAModel
ML,SVR,0.3,0.7679774501701517,0.46797745017015174,4.38690185546875e-05,ARFIMAModel
ML,RandomForest,0.7,0.1,0.6,0.00014495849609375,MRW
ML,GradientBoosting,0.7,0.26039611686014763,0.4396038831398523,0.00018668174743652344,MRW
ML,SVR,0.7,0.6853313361258849,0.014668663874115029,4.38690185546875e-05,MRW
Neural,CNN,0.7,0.5103973150253296,0.18960268497467037,0.0007658004760742188,fBm
Neural,LSTM,0.7,0.6207972440120414,0.07920275598795856,0.16512632369995117,fBm
Neural,GRU,0.7,0.5529456675608068,0.1470543324391932,0.14402103424072266,fBm
Neural,Transformer,0.7,0.5334795713424683,0.1665204286575317,0.0026171207427978516,fBm
Neural,CNN,0.7,0.5090654492378235,0.19093455076217647,0.0003807544708251953,fGn
Neural,LSTM,0.7,0.5938969664602485,0.10610303353975148,0.15293335914611816,fGn
Neural,GRU,0.7,0.5403224813524063,0.1596775186475936,0.15029335021972656,fGn
Neural,Transformer,0.7,0.5375539064407349,0.1624460935592651,0.0018537044525146484,fGn
Neural,CNN,0.3,0.506873607635498,0.20687360763549806,0.0003726482391357422,ARFIMAModel
Neural,LSTM,0.3,0.6708530525134229,0.3708530525134229,0.15257859230041504,ARFIMAModel
Neural,GRU,0.3,0.58201146239514,0.28201146239514,0.1401681900024414,ARFIMAModel
Neural,Transformer,0.3,0.5372821688652039,0.23728216886520387,0.0018906593322753906,ARFIMAModel
Neural,CNN,0.7,0.5075337290763855,0.19246627092361446,0.0003707408905029297,MRW
Neural,LSTM,0.7,0.573334242669478,0.126665757330522,0.1519913673400879,MRW
Neural,GRU,0.7,0.5398631905851609,0.1601368094148391,0.14027833938598633,MRW
Neural,Transformer,0.7,0.5353689193725586,0.16463108062744136,0.002216815948486328,MRW
Comprehensive,R/S,0.7,0.7817484902238734,0.08174849022387343,0.029358625411987305,fBm
Comprehensive,DFA,0.7,0.11862281087304131,0.5813771891269587,0.006585597991943359,fBm
Comprehensive,DMA,0.7,0.868539388943727,0.168539388943727,0.0007455348968505859,fBm
Comprehensive,Higuchi,0.7,0.8072754149015611,0.10727541490156112,0.0023827552795410156,fBm
Comprehensive,GPH,0.7,0.8577643036842346,0.15776430368423466,0.0010716915130615234,fBm
Comprehensive,Whittle,0.7,0.7,0.0,0.00030732154846191406,fBm
Comprehensive,Periodogram,0.7,0.7080249041318893,0.008024904131889388,0.0008883476257324219,fBm
Comprehensive,CWT,0.7,0.592123795639743,0.10787620436025691,0.05370378494262695,fBm
Comprehensive,WaveletVar,0.7,1.1750383475399966,0.47503834753999663,0.0007889270782470703,fBm
Comprehensive,WaveletLogVar,0.7,0.9679008697970545,0.2679008697970545,0.0004506111145019531,fBm
Comprehensive,WaveletWhittle,0.7,0.010005841643766819,0.6899941583562331,0.0073626041412353516,fBm
Comprehensive,MFDFA,0.7,0.27280257331602975,0.4271974266839702,0.10899901390075684,fBm
