Rank,Estimator,Category,Overall_Score,MAE,Robustness_Score,Tier
1,CNN,Neural,9.66,0.101,1.0,Tier 1
2,LSTM,Neural,9.65,0.104,1.0,Tier 1
3,GRU,Neural,9.63,0.111,1.0,Tier 1
4,Transformer,Neural,9.62,0.115,1.0,Tier 1
5,GradientBoosting,ML,9.34,0.198,1.0,Tier 2
6,SVR,ML,9.33,0.202,1.0,Tier 2
7,RandomForest,ML,9.32,0.205,1.0,Tier 2
8,R/S,Classical,9.25,0.15,1.0,Tier 2
9,Whittle,Classical,9.0,0.2,1.0,Tier 2
10,Periodogram,Classical,8.69,0.261,1.0,Tier 3
11,CWT,Classical,8.52,0.296,1.0,Tier 3
12,GPH,Classical,8.39,0.322,1.0,Tier 3
13,DFA,Classical,7.95,0.409,1.0,Tier 4
14,DMA,Classical,7.62,0.475,1.0,Tier 4
15,Higuchi,Classical,7.14,0.572,1.0,Tier 4
