Estimator,Category,MAE_Standard,MAE_HeavyTail,MAE_Combined,Execution_Time,Robustness,MAE_Score,Time_Score,Robustness_Score,HeavyTail_Bonus,Comprehensive_Score,HeavyTail_Available,Rank,HeavyTail_Impact
LSTM,Neural Network,0.097,0.245,0.1562,0.0012,1.0,6.8759999999999994,9.988,10.0,1.0,8.748000000000001,True,1,0.31240000000000023
GRU,Neural Network,0.108,0.247,0.1636,0.0007,1.0,6.728,9.993,10.0,1.0,8.6898,True,2,0.3271999999999995
Transformer,Neural Network,0.106,0.249,0.1632,0.0026,1.0,6.736,9.974,10.0,1.0,8.6892,True,3,0.3263999999999996
CNN,Neural Network,0.103,0.3,0.1818,0.0064,1.0,6.364000000000001,9.936,10.0,1.0,8.5328,True,4,0.3635999999999999
GradientBoosting,ML,0.193,0.201,0.1962,0.013,1.0,6.076,9.87,10.0,1.0,8.404399999999999,True,5,0.3923999999999985
SVR,ML,0.202,0.308,0.2444,0.009,1.0,5.112,9.91,10.0,1.0,8.0268,True,6,0.48879999999999946
R/S,Classical,0.099,0.409,0.223,0.348,1.0,5.54,6.5200000000000005,10.0,1.0,7.5200000000000005,True,7,0.4460000000000006
DFA,Classical,0.465,0.346,0.4174,0.009,1.0,1.652000000000001,9.91,10.0,1.0,6.642800000000001,True,8,0.8348000000000004
Whittle,Classical,0.2,,0.2,0.0002,1.0,6.0,9.998,10.0,0.0,6.3996,False,9,0.0
DMA,Classical,0.527,0.346,0.4546,0.0005,1.0,0.9079999999999995,9.995,10.0,1.0,6.3622,True,10,0.9092000000000002
Periodogram,Classical,0.205,,0.205,0.0005,1.0,5.9,9.995,10.0,0.0,6.359,False,11,0.0
RandomForest,ML,0.202,0.211,0.2056,2.099,1.0,5.888,0.0,10.0,1.0,6.3552,True,12,0.4112
Higuchi,Classical,0.509,0.539,0.521,0.004,1.0,0.0,9.96,10.0,1.0,5.992,True,13,1.0
GPH,Classical,0.274,,0.274,0.032,1.0,4.52,9.68,10.0,0.0,5.744,False,14,0.0
CWT,Classical,0.269,,0.269,0.063,1.0,4.619999999999999,9.37,10.0,0.0,5.7219999999999995,False,15,0.0
