Estimator,N_Tests,Success_Rate,MAE_Mean,MAE_Std,MAE_CI_Lower,MAE_CI_Upper,Exec_Time_Mean,Exec_Time_Std
RandomForest,24,1.000,0.0349,0.0284,0.0229,0.0469,1.8876,1.1239
GradientBoosting,24,1.000,0.0354,0.0325,0.0217,0.0491,0.0219,0.0062
R/S,24,1.000,0.0489,0.0373,0.0332,0.0647,0.3811,0.6027
SVR,24,1.000,0.0556,0.0254,0.0449,0.0663,0.0206,0.0066
NN_lstm,24,1.000,0.2000,0.1025,0.1567,0.2433,0.0307,0.1422
NN_gru,24,1.000,0.2000,0.1022,0.1568,0.2432,0.0320,0.1496
NN_transformer,24,1.000,0.2000,0.1029,0.1566,0.2434,0.7098,3.4661
NN_convolutional,24,1.000,0.2004,0.1125,0.1529,0.2479,0.0342,0.1618
Whittle,24,1.000,0.2500,0.1694,0.1785,0.3215,0.0005,0.0001
NN_feedforward,24,1.000,0.2864,0.2105,0.1975,0.3753,0.0663,0.3203
GPH,24,1.000,0.3166,0.2987,0.1905,0.4427,0.0325,0.1024
NN_resnet,24,1.000,0.3237,0.2179,0.2317,0.4157,0.0663,0.3173
Periodogram,24,1.000,0.3390,0.2916,0.2159,0.4621,0.0024,0.0002
DFA,24,1.000,0.4084,0.1520,0.3443,0.4726,0.0193,0.0065
Higuchi,24,1.000,0.4349,0.1950,0.3526,0.5173,0.0126,0.0062
DMA,24,1.000,0.4624,0.2024,0.3769,0.5478,0.0010,0.0002
